portalName,total,new_items,deleted_items
04a-01,1211,19,2
08b-42091,40,1,1
04c-01,1333,10,1
12b-17143,125,0,0
05b-27123,31,0,8
05b-27139,62,0,0
06f-01,43,0,0
09c-01,83,0,0
07d-02,67,4,4
07b-26161,10,1,0
04b-24021,110,0,0
07c-01,146,11,10
03a-04,128,5,11
03c-02,179,1,0
12b-17031,202,11,0
03a-02,1061,11,15
13a-01,150,4,0
12d-03,34,0,0
